Tipo,Descripcion,Localizacion,Atributos,Valor
Apartamento,Apartamento en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño50 / 50 m²,$ 141.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños64 m²,$ 277.000.000
Apartamento,Apartamento en venta en San Patricio,"San Patricio, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños72 m²,$ 420.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños65 / 65 m²,$ 275.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",10 habitaciones7 baños370 m²,$ 850.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños63 m²,$ 390.000.000
Apartamento,Apartamento en venta en El Batán,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños91 m²,$ 445.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 m²,$ 310.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños71 m²,$ 277.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños63 m²,$ 290.000.000
Apartamento,Apartamento en venta en Gran Granada,"Gran Granada, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños85 m²,$ 347.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños60 m²,$ 123.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños82 m²,$ 340.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones1 baño31 m²,$ 156.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños81 m²,$ 395.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños60 / 60 m²,$ 245.000.000
Apartamento,Apartamento en venta en Bogotá D.C,"Bogotá D.C, Cundinamarca",2 habitaciones1 baño47 / 47 m²,$ 130.000.000
Apartamento,Apartamento en venta en Bogotá D.C,"Bogotá D.C, Cundinamarca",3 habitaciones1 baño48 / 48 m²,$ 136.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños71 m²,$ 476.500.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños71 m²,$ 476.500.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños58 m²,$ 225.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño45 / 45 m²,$ 165.000.000
Apartamento,Apartamento en venta en La Calleja,"La Calleja, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños86 / 86 m²,$ 451.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños42 m²,$ 307.000.000
Casa,Casa en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños44 m²,$ 138.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño46 / 46 m²,$ 180.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones3 baños138 m²,$ 620.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños112 / 112 m²,$ 398.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños71 m²,$ 276.000.000
Casa,Casa en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños150 / 157 m²,$ 750.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 / 59 m²,$ 245.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños86 / 86 m²,$ 555.000.000
Apartamento,Apartamento en venta en San Patricio,"San Patricio, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños72 / 72 m²,$ 450.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños78 / 78 m²,$ 370.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños54 / 54 m²,$ 162.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño24 / 24 m²,$ 173.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños141 m²,$ 629.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño62 m²,$ 220.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños77 / 77 m²,$ 390.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños77 / 77 m²,$ 390.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños75 / 75 m²,$ 314.000.000
Apartamento,Apartamento en venta en Gran America,"Gran America, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño23 m²,$ 170.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones1 baño42 / 38 m²,$ 200.000.000
Apartamento,Apartamento en venta en Rafael Uribe Uribe,"Rafael Uribe Uribe, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones2 baños61 / 61 m²,$ 251.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño53 / 53 m²,$ 168.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño58 m²,$ 200.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños56 / 56 m²,$ 340.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño34 m²,$ 103.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños60 / 60 m²,$ 230.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones5 baños221 / 221 m²,$ 1.200.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños54 m²,$ 355.000.000
Casa,Casa en venta en Puente Aranda,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",6 habitaciones2 baños150 m²,$ 600.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños71 m²,$ 378.300.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones5 baños360 m²,$ 1.900.000.000
Apartamento,Apartamento en venta en Barrios Unidos,"Barrios Unidos, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños43 m²,$ 160.000.000
Casa,Casa en venta en San Cristobal,"San Cristobal, Zona Sur, Bogotá D.C, Cundinamarca",13 habitaciones6 baños454 m²,$ 650.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 m²,$ 102.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños57 m²,$ 148.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños117 m²,$ 500.000.000
Casa,Casa en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 m²,$ 131.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño53 m²,$ 142.000.000
Apartamento,Apartamento en venta en La Salle,"La Salle, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños67 / 67 m²,$ 389.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",5 habitaciones4 baños147 m²,$ 522.500.000
Apartamento,Apartamento en venta en El Contador,"El Contador, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños95 m²,$ 465.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños103 m²,$ 1.250.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños21 m²,$ 235.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño32 m²,$ 164.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños114 / 114 m²,$ 416.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños73 m²,$ 318.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños50 m²,$ 180.000.000
Apartamento,Apartamento en venta en Portales Del Norte,"Portales Del Norte, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños83 / 83 m²,$ 390.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones1 baño47 m²,$ 258.500.000
Apartamento,Apartamento en venta en Villemar,"Villemar, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 m²,$ 205.000.000
Apartamento,Apartamento en venta en Teusaquillo,"Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño29 / 29 m²,$ 192.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",5 habitaciones4 baños147 m²,$ 522.500.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños21 m²,$ 235.000.000
Apartamento,Apartamento en venta en Chico Reservado,"Chico Reservado, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños103 m²,$ 1.250.000.000
Apartamento,Apartamento en venta en Villa Alsacia,"Villa Alsacia, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños55 m²,$ 240.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños72 m²,$ 320.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño42 / 42 m²,$ 116.100.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños70 / 70 m²,$ 224.000.000
Apartamento,Apartamento en venta en Marly,"Marly, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",1 habitación1 baño34 m²,$ 192.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación1 baño45 m²,$ 250.000.000
Apartamento,Apartamento en venta en El Contador,"El Contador, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños89 / 89 m²,$ 500.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños66 m²,$ 345.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños60 m²,$ 256.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 m²,$ 323.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño48 m²,$ 150.000.000
Apartamento,Apartamento en venta en Antonio Nariño,"Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 / 59 m²,$ 245.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños102 m²,$ 850.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño46 / 46 m²,$ 127.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños48 m²,$ 210.000.000
Apartamento,Apartamento en venta en Santa Fe,"Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación2 baños50 m²,$ 354.000.000
Apartamento,Apartamento en venta en Colina Campestre,"Colina Campestre, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños62 / 62 m²,$ 281.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño52 m²,$ 200.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños88 m²,$ 500.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños79 m²,$ 300.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños66 m²,$ 400.000.000
Apartamento,Apartamento en venta en Portales Del Norte,"Portales Del Norte, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 m²,$ 330.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño49 m²,$ 163.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños81 m²,$ 430.000.000
Apartamento,Apartamento en venta en Portales Del Norte,"Portales Del Norte, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 m²,$ 330.000.000
Apartamento,Apartamento en venta en Portales Del Norte,"Portales Del Norte, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 m²,$ 320.000.000
Apartamento,Apartamento en venta en Colina Campestre,"Colina Campestre, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños62 / 62 m²,$ 281.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños102 m²,$ 850.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños48 m²,$ 210.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño46 / 46 m²,$ 127.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños74 m²,$ 260.000.000
Apartamento,Apartamento en venta en El Batán,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños107 / 107 m²,$ 525.000.000
Apartamento,Apartamento en venta en San Patricio,"San Patricio, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños107 m²,$ 760.000.000
Apartamento,Apartamento en venta en Cantagallo,"Cantagallo, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños60 m²,$ 387.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños73 m²,$ 360.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño41 / 41 m²,$ 246.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños70 / 70 m²,$ 319.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño57 m²,$ 190.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños89 m²,$ 500.000.000
Casa,Casa en venta en Ciudad Berna,"Ciudad Berna, Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",8 habitaciones4 baños400 m²,$ 1.400.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños106 / 106 m²,$ 491.000.000
Apartamento,Apartamento en venta en La Calleja,"La Calleja, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones4 baños186 m²,$ 970.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños42 m²,$ 145.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños48 m²,$ 420.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños107 m²,$ 660.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños109 m²,$ 515.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños103 / 93 m²,$ 520.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños158 m²,$ 770.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños99 m²,$ 495.000.000
Casa,Casa en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño48 m²,$ 160.000.000
Casa,Casa en venta en Ciudad Bolívar,"Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño40 m²,$ 134.000.000
Apartamento,Apartamento en venta en Cantagallo,"Cantagallo, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños98 / 98 m²,$ 489.900.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños77 m²,$ 310.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 m²,$ 270.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños81 m²,$ 600.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños66 m²,$ 261.500.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños85 m²,$ 440.000.000
Apartamento,Apartamento en venta en El Plan,"El Plan, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños68 / 68 m²,$ 372.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño43 m²,$ 270.000.000
